Page,Edits,Editors,Views,Mobile %
"Antoine Griezmann",?,?,31168,NaN
"João Fernandes (ator)",?,?,31124,NaN
"Kim Kardashian",?,?,31054,NaN
"Peste Negra",?,?,31018,NaN
"Napoleão Bonaparte",?,?,31003,NaN
"Melhor Jogador do Mundo pela FIFA",?,?,30949,NaN
"Thor",?,?,30948,NaN
"Fernando Santos (treinador de futebol)",?,?,30931,NaN
"Instagram",?,?,30904,NaN
"Mortes em 2021",?,?,30868,NaN
"Lilith",?,?,30814,NaN
"Lista de municípios do Paraná por população",?,?,30764,NaN
"Lucifer (série de televisão)",?,?,30749,NaN
"Caso Richthofen",?,?,30739,NaN
"Roberto Carlos",?,?,30542,NaN
"Renan Calheiros",?,?,30531,NaN
"País de Gales",?,?,30400,NaN
"Zlatan Ibrahimović",?,?,30318,NaN
"A Vida da Gente",?,?,30312,NaN
"Lista das maiores torcidas de futebol do Brasil",?,?,30277,NaN
"Futebol nos Jogos Olímpicos",?,?,30274,NaN
"Iluminismo",?,?,30208,NaN
"Língua portuguesa",?,?,30150,NaN
"Moçambique",?,?,30113,NaN
"Cruzeiro Esporte Clube",?,?,30016,NaN
"Igreja Católica",?,?,29943,NaN
"Basquetebol",?,?,29882,NaN
"Lista de símbolos matemáticos",?,?,29861,NaN
"Campeonato Europeu de Futebol de 2004",?,?,29809,NaN
"Che Guevara",?,?,29796,NaN
"Nanatsu no Taizai",?,?,29791,NaN
"Machado de Assis",?,?,29775,NaN
"Hulk (futebolista)",?,?,29762,NaN
"Quetura",?,?,29607,NaN
"Margarida, Condessa de Snowdon",?,?,29441,NaN
"Guerra Fria",?,?,29365,NaN
"Pedro II do Brasil",?,?,29264,NaN
"Zé Pelintra",?,?,29206,NaN
"Protozoário",?,?,29204,NaN
"Anne Frank",?,?,29195,NaN
"Frida Kahlo",?,?,29154,NaN
"Voleibol",?,?,29148,NaN
"Revolução Industrial",?,?,29129,NaN
"Michael Schumacher",?,?,29037,NaN
"Richarlison de Andrade",?,?,28973,NaN
"Seleção Alemã de Futebol",?,?,28933,NaN
"Romário",?,?,28826,NaN
"David Luiz",?,?,28756,NaN
"Futbol Club Barcelona",?,?,28732,NaN
"Bonnie e Clyde",?,?,28727,NaN
"Dinamarca",?,?,28690,NaN
"Caso Eloá Cristina",?,?,28687,NaN
"Copa do Mundo FIFA de 2006",?,?,28682,NaN
"Lewis Hamilton",?,?,28651,NaN
"México",?,?,28633,NaN
"Área 51",?,?,28629,NaN
"Fernando Pessoa",?,?,28589,NaN
"Angola",?,?,28574,NaN
"Turquia",?,?,28449,NaN
"Sócrates",?,?,28429,NaN
"Shingeki no Kyojin",?,?,28379,NaN
"Austrália",?,?,28377,NaN
"Sistema Solar",?,?,28355,NaN
"Bissexualidade",?,?,28290,NaN
"RuPaul's Drag Race (13.ª temporada)",?,?,28269,NaN
"Esquerda e direita (política)",?,?,28258,NaN
"Dejan Petković",?,?,28204,NaN
"Steve Jobs",?,?,28135,NaN
"Liga das Nações de Voleibol Masculino",?,?,28128,NaN
"The Walking Dead (série de televisão)",?,?,28117,NaN
"Império Romano",?,?,28111,NaN
"Copa do Mundo FIFA de 2010",?,?,28111,NaN
"Facebook",?,?,28077,NaN
"Gabriel Monteiro (youtuber)",?,?,28028,NaN
"Pedro I do Brasil",?,?,28015,NaN
"Grêmio Foot-Ball Porto Alegrense",?,?,27880,NaN
"Capoeira",?,?,27855,NaN
"Carlos, Príncipe de Gales",?,?,27843,NaN
"Lista de filmes de maior bilheteria",?,?,27776,NaN
"Ayrton Senna",?,?,27767,NaN
"Minas Gerais",?,?,27732,NaN
"Terra plana",?,?,27662,NaN
"2021 na televisão brasileira",?,?,27651,NaN
"Lista de presidentes dos Estados Unidos",?,?,27644,NaN
"Aquecimento global",?,?,27606,NaN
"Da Cor do Pecado",?,?,27475,NaN
"Alberto Fujimori",?,?,27457,NaN
"Geração X",?,?,27455,NaN
"Malhação Sonhos",?,?,27452,NaN
"Rafael Tolói",?,?,27370,NaN
"Paulo Gustavo",?,?,27356,NaN
"Campeonato Europeu de Futebol de 2012",?,?,27322,NaN
